player_id,player_name
Glenn Robinson,Glenn
Grant Hill,Grant
Grant Long,Grant
Greg Anthony,Greg
Greg Foster,Greg
Greg Minor,Greg
Greg Ostertag,Greg
Hakeem Olajuwon,Hakeem
Harvey Grant,Harvey
Haywoode Workman,Haywoode
Herb Williams,Herb
Hersey Hawkins,Hersey
Horace Grant,Horace
Hot Rod Williams,Hot Rod
Howard Eisley,Howard
Hubert Davis,Hubert
Ike Austin,Ike
Isaiah Rider,Isaiah
J.R. Henderson,J.R.
J.R. Reid,J.R.
Jacque Vaughn,Jacque
Jahidi White,Jahidi
Jalen Rose,Jalen
Jamal Mashburn,Jamal
James Cotton,James
James Robinson,James
Jamie Feick,Jamie
Jamie Watson,Jamie
Jaren Jackson,Jaren
Jason Caffey,Jason
Jason Kidd,Jason
Jason Sasser,Jason
Jason Williams,Jason
Jayson Williams,Jayson
Jeff Hornacek,Jeff
Jeff McInnis,Jeff
Jeff Sheppard,Jeff
Jelani McCoy,Jelani
Jerald Honeycutt,Jerald
Jermaine O'Neal,Jermaine
Jerome James,Jerome
Jerome Kersey,Jerome
