,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
422,49,CHI,Cameron Bairstow,New Mexico,2,36,167,44,36,7,.296,.200,.846,4.6,1.2,1.0,0.2,-0.1,-.021,-8.1,-0.3
423,50,PHO,Alec Brown,Green Bay,,,,,,,,,,,,,,,,,
424,51,NYK,Thanasis Antetokounmpo,,4,106,1013,317,226,80,.485,.157,.522,9.6,3.0,2.1,0.8,1.4,.065,-3.6,-0.4
425,52,PHI,Vasilije Micić,,,,,,,,,,,,,,,,,,
426,53,MIN,Alessandro Gentile,,,,,,,,,,,,,,,,,,
427,54,PHI,Nemanja Dangubić,,,,,,,,,,,,,,,,,,
428,55,MIA,Semaj Christon,Xavier,1,64,973,183,87,130,.345,.190,.548,15.2,2.9,1.4,2.0,0.1,.006,-5.1,-0.8
429,56,DEN,Devyn Marble,Iowa,2,44,457,97,69,29,.304,.222,.375,10.4,2.2,1.6,0.7,-0.3,-.028,-5.5,-0.4
430,57,IND,Louis Labeyrie,,,,,,,,,,,,,,,,,,
431,58,SAS,Jordan McRae,Tennessee,4,123,1696,846,225,167,.417,.355,.772,13.8,6.9,1.8,1.4,1.7,.048,-2.1,0.0
432,59,TOR,Xavier Thames,San Diego State,,,,,,,,,,,,,,,,,
433,60,SAS,Cory Jefferson,Baylor,2,58,581,205,161,16,.444,.125,.583,10.0,3.5,2.8,0.3,0.9,.071,-3.3,-0.2
434,1,MIN,Karl-Anthony Towns,Kentucky,7,441,15127,10162,5045,1339,.526,.398,.834,34.3,23.0,11.4,3.0,60.3,.191,4.8,26.1
435,2,LAL,D'Angelo Russell,Ohio State,7,389,11387,6888,1402,2117,.419,.359,.774,29.3,17.7,3.6,5.4,12.1,.051,0.6,7.4
436,3,PHI,Jahlil Okafor,Duke,6,247,4827,2566,1169,225,.542,.222,.676,19.5,10.4,4.7,0.9,7.2,.071,-2.0,0.0
437,4,NYK,Kristaps Porziņģis,,6,312,9696,5876,2445,479,.442,.354,.817,31.1,18.8,7.8,1.5,24.7,.122,1.6,8.7
438,5,ORL,Mario Hezonja,,5,330,6107,2284,1026,415,.417,.319,.812,18.5,6.9,3.1,1.3,3.2,.025,-2.8,-1.2
439,6,SAC,Willie Cauley-Stein,Kentucky,7,420,9270,3675,2468,597,.544,.188,.612,22.1,8.8,5.9,1.4,23.3,.121,-0.1,4.4
440,7,DEN,Emmanuel Mudiay,,6,302,7187,3299,884,1143,.401,.323,.744,23.8,10.9,2.9,3.8,-0.2,-.001,-3.2,-2.2
441,8,DET,Stanley Johnson,Arizona,7,378,7474,2351,1173,541,.376,.297,.764,19.8,6.2,3.1,1.4,4.7,.030,-2.8,-1.6
442,9,CHO,Frank Kaminsky,Wisconsin,7,377,7925,3541,1527,619,.429,.348,.743,21.0,9.4,4.1,1.6,15.3,.093,-0.3,3.4
443,10,MIA,Justise Winslow,Duke,7,298,7707,2473,1507,741,.413,.320,.634,25.9,8.3,5.1,2.5,7.3,.046,-2.1,-0.2
444,11,IND,Myles Turner,Texas,7,428,12304,5456,2865,512,.490,.353,.768,28.7,12.7,6.7,1.2,33.4,.130,0.7,8.3
445,12,UTA,Trey Lyles,Kentucky,7,409,7327,3032,1738,426,.436,.338,.720,17.9,7.4,4.2,1.0,12.3,.080,-1.2,1.5
446,13,PHO,Devin Booker,Kentucky,7,441,14775,10150,1696,2042,.454,.356,.871,33.5,23.0,3.8,4.6,25.1,.081,0.1,7.9
